origin,shape,carat_weight,color,clarity,cut,price
NATURAL,round,0.31,J,SI2,Excellent,330
NATURAL,round,0.30,J,SI1,Excellent,354
NATURAL,round,0.30,K,VS2,Very_Good,354
NATURAL,round,0.30,J,SI1,Excellent,407
NATURAL,round,0.30,J,VS2,Excellent,350
NATURAL,princess,0.24,D,VS2,Very_Good,360
NATURAL,round,0.24,I,SI1,Good,392
NATURAL,round,0.18,I,VVS1,Excellent,374
NATURAL,round,0.19,G,IF,Excellent,394
NATURAL,round,0.31,J,VS2,Very_Good,399
NATURAL,round,0.30,K,VVS1,Very_Good,349
NATURAL,round,0.38,K,SI1,Excellent,345
NATURAL,round,0.30,J,VVS2,Good,338
NATURAL,round,0.23,E,SI2,Excellent,392
NATURAL,round,0.30,I,VS2,Excellent,398
NATURAL,princess,0.25,I,VS1,Excellent,379
NATURAL,round,0.30,K,SI1,Good,371
NATURAL,round,0.34,G,I1,Excellent,351
NATURAL,round,0.30,J,I1,Good,356
NATURAL,round,0.33,I,SI1,Excellent,381
NATURAL,princess,0.23,G,VVS2,Excellent,376
NATURAL,round,0.30,K,SI2,Excellent,380
NATURAL,round,0.30,K,VS1,Excellent,326
NATURAL,round,0.41,K,I1,Good,396
NATURAL,round,0.19,F,VVS2,Excellent,399
NATURAL,round,0.31,F,SI2,Excellent,401
NATURAL,round,0.30,G,I1,Excellent,392
NATURAL,round,0.30,K,VVS2,Very_Good,342
NATURAL,round,0.23,F,SI2,Excellent,392
NATURAL,emerald,0.32,F,VS1,Excellent,412
NATURAL,round,0.30,J,VS2,Excellent,350
NATURAL,round,0.30,H,I1,Very_Good,368
NATURAL,round,0.30,F,I1,Very_Good,388
NATURAL,princess,0.23,E,VS2,Excellent,399
NATURAL,round,0.28,D,SI2,Very_Good,363
NATURAL,round,0.31,K,SI2,Excellent,366
NATURAL,round,0.32,K,IF,Excellent,395
NATURAL,round,0.30,I,VS2,Very_Good,381
NATURAL,emerald,0.30,H,VVS2,Excellent,411
NATURAL,round,0.19,E,VS1,Excellent,367
NATURAL,round,0.18,D,SI2,Excellent,283
